Team,Player,Pos,AB,R,H,RBI,BB,K,2B,3B,HR,SB,CS,HBP,SF,SH,PO,A,LOB,B-Ref
Xavier,Unknown,,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,
Xavier,A. Anderson,,4,0,0,0,0,0,0,0,0,1,,,,,3,0,0,
Xavier,Unknown,,5,2,2,0,0,1,0,0,0,0,,,,,1,0,0,
Xavier,Unknown,,3,0,0,1,0,0,0,0,0,0,,,,,9,1,0,
Xavier,Unknown,,1,2,1,0,2,0,0,0,0,0,,,,,1,0,0,
Xavier,c. Misch,,3,0,2,3,2,0,0,0,0,0,,,,,5,0,0,
Xavier,e. Peters,,4,0,1,0,0,0,1,0,0,0,,,,,2,0,0,
Xavier,c. Burdette,,3,1,1,0,0,0,1,0,0,0,,,,,2,0,0,
Xavier,l. Mensik,,5,0,2,1,0,0,0,0,0,0,,,,,1,0,0,
Xavier,j. Jelic,,1,0,0,0,0,0,0,0,0,0,,,,,3,0,0,
Xavier,n. Tucker,,1,0,0,0,0,0,0,0,0,0,,,,,0,2,0,
Stanford,B Larson,,4,0,2,0,0,0,1,0,0,0,,,,,0,0,0,
Stanford,J Nati,,4,1,1,2,0,0,0,0,1,0,,,,,3,3,0,
Stanford,T Haskins,,4,1,2,0,0,0,0,0,0,0,,,,,0,1,0,
Stanford,C Bates,,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,
Stanford,T Becerra,,4,0,0,0,0,0,0,0,0,0,,,,,2,1,0,
Stanford,T Marsh,,3,0,1,0,0,0,0,0,0,0,,,,,3,0,0,
Stanford,R Sasaki,,5,0,1,0,0,0,0,0,0,0,,,,,5,1,0,
Stanford,B Reynolds,,4,1,2,1,0,0,0,0,1,0,,,,,1,1,0,
Stanford,C Saum,,3,1,0,1,1,0,0,0,0,0,,,,,11,0,0,
Stanford,G Springer,,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,
Stanford,S Campbell,,3,0,0,0,0,0,0,0,0,0,,,,,2,0,0,
