Team,Player,Pos,AB,R,H,RBI,BB,K,2B,3B,HR,SB,CS,HBP,SF,SH,PO,A,LOB,B-Ref
Xavier,Aedan Anderson,cf,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,anders000aed
Xavier,Connor Misch,1b,3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,misch-000con
Xavier,Eddie Peters,ss,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,peters000edd
Xavier,Clay Burdette,rf,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,burdet000cla
Xavier,Landon Mensik,,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,mensik000lan
Xavier,Jason Jelic,ph/c,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,jelic-000jas
Xavier,Nolan Tucker,ph/2b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tucker000nol
Xavier,Jake Lambdin,,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,lambdi000jak
Xavier,Carter Hendrickson,lf,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,hendri002car
Xavier,Isaac Wachsmann,dh,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,wachsm000isa
Xavier,Donavan Canterberry,3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canter000don
Xavier,Hayden Christiansen,c,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,christ000hay
Stanford,Brandon Larson,dh,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,larson003bra
Stanford,Jimmy Nati,2b,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,nati--000jim
Stanford,Trevor Haskins,3b,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,haskin000tre
Stanford,Charlie Bates,cf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bates-014cha
Stanford,Temo Becerra,ss,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,becerr000tem
Stanford,Tatum Marsh,lf,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,marsh-000tat
Stanford,Rintaro Sasaki,1b,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,sasaki000rin
Stanford,Brady Reynolds,rf,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,reynol003bra
Stanford,Charlie Saum,c,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,saum--000cha
Stanford,Gabe Springer,ph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spring000gab
Stanford,Saborn Campbell,cf,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,campbe000sab
Stanford,Brett Blair,pr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blair-000bre
Stanford,Ethan Hott,pr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hott--000eth
