Team,Player,Pos,AB,R,H,RBI,BB,K,2B,3B,HR,SB,CS,HBP,SF,SH,PO,A,LOB,B-Ref
LMU (CA),Unknown,,4,0,0,0,1,0,0,0,0,0,,,,,7,0,0,
LMU (CA),Unknown,,4,1,1,2,0,0,0,0,0,0,,,,,1,0,0,
LMU (CA),Unknown,,3,0,0,0,1,0,0,0,0,0,,,,,7,0,0,
LMU (CA),Unknown,,3,1,0,0,0,0,0,0,0,0,,,,,1,2,0,
LMU (CA),Unknown,,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,
LMU (CA),Unknown,,4,0,0,0,0,0,0,0,0,0,,,,,3,0,0,
LMU (CA),Unknown,,3,0,0,0,1,0,0,0,0,0,,,,,4,0,0,
LMU (CA),Unknown,,4,1,3,1,0,0,0,0,0,0,,,,,0,0,0,
LMU (CA),Unknown,,3,0,0,0,0,0,0,0,0,0,,,,,1,3,0,
LMU (CA),Unknown,,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,
LMU (CA),Unknown,,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,
Saint Mary's (CA),aide Taurek,,4,2,3,1,0,0,1,0,0,0,,,,,3,0,0,
Saint Mary's (CA),i Armstrong,,4,1,1,0,0,0,0,0,0,0,,,,,6,2,0,
Saint Mary's (CA),ryan Pierce,,3,0,1,1,0,0,0,0,0,0,,,,,1,2,0,
Saint Mary's (CA),ed Madrigal,,4,2,2,5,1,0,0,0,2,1,,,,,9,0,0,
Saint Mary's (CA),bria Duroff,,4,0,1,1,0,0,0,0,0,0,,,,,0,0,0,
Saint Mary's (CA),ta Griffith,,3,1,0,0,0,0,0,0,0,0,,,,,5,0,0,
Saint Mary's (CA),c Kashimoto,,3,1,0,0,2,0,0,0,0,0,,,,,1,1,0,
Saint Mary's (CA),Castellanos,,3,1,0,0,1,0,0,0,0,0,,,,,0,0,0,
Saint Mary's (CA),jare Mettam,,4,0,2,0,0,0,0,0,0,0,,,,,2,3,0,
Saint Mary's (CA),dani Castro,,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,
