Team,Player,Pos,AB,R,H,RBI,BB,K,2B,3B,HR,SB,CS,HBP,SF,SH,PO,A,LOB,B-Ref
LMU,Devan Ornelas,cf,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,ornela000dev
LMU,Beau Ankeney,1b,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ankene000bea
LMU,Robbie Ayers,c,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,ayers-000rob
LMU,Nate Savoie,lf,4,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,savoie000nat
LMU,Zion Williams,dh,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,willia000zio
LMU,Colby Wallace,rf,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,wallac002col
LMU,JD Dunn,2b,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dunn--000jd-
LMU,Kolton Freeman,ph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,freema000kol
LMU,Luca Danos,2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,danos-000luc
LMU,Joe Reid,3b,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,reid--000joe
LMU,James Bose,ss,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bose--000jam
LMU,Noah Malone,ph,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,malone002noa
Saint Mary's,Aiden Taurek,lf,4,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,taurek000aid
Saint Mary's,Ian Armstrong,c,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,armstr000ian
Saint Mary's,Ryan Pierce,3b,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,pierce002rya
Saint Mary's,Eddie Madrigal,1b,4,2,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,madrig000edd
Saint Mary's,Brian DuRoff,dh,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,duroff000bri
Saint Mary's,Tanner Griffith,cf,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,griffi001tan
Saint Mary's,Cody Kashimoto,2b,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,kashim000cod
Saint Mary's,Diego Castellanos,rf,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,castel000die
Saint Mary's,Jared Mettam,ss,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mettam000jar
